"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000006607.14","ENSG00000006607.14",-0.500050078822151,0.606500286132139,0.030908879914692,"132","229","1.64880383878686",0.554374886149736,0.0326621309555671,"ENSG00000006607","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2"
"ENSG00000234084.1","ENSG00000234084.1",-0.768264290706594,0.463817422257235,0.00329326663901587,"61","300","2.15602077889475",0.552583641994049,0.0281577051353351,"ENSG00000234084",NA,NA
"ENSG00000166965.12","ENSG00000166965.12",1.556269139947,4.74109982767506,0.0308496252188349,"357","4","0.21092152377023",0.516181917542049,0.0133871759699535,"ENSG00000166965","RCCD1","RCC1 domain containing 1"
"ENSG00000148343.18","ENSG00000148343.18",1.99499783921852,7.35218714140383,0.0478787371978244,"38","323","0.136013948062952",0.549213674175724,0.00953699205044802,"ENSG00000148343","MIGA2","mitoguardin 2"
"ENSG00000214193.11","ENSG00000214193.11",0.619752961724691,1.85846887218754,0.0135395929617986,"155","206","0.538077346876914",0.590898050883478,0.0295140485489886,"ENSG00000214193","SH3D21","SH3 domain containing 21"
"ENSG00000243403.1","ENSG00000243403.1",-1.08083861891891,0.339310853794641,0.0356925312078766,"315","46","2.94715005080629",0.544993624385209,0.0150053391335632,"ENSG00000243403",NA,NA
"ENSG00000074590.13","ENSG00000074590.13",0.614331140571993,1.84841985295406,0.010113765868647,"184","177","0.541002629030329",0.5413807760034,0.0329529940048708,"ENSG00000074590","NUAK1","NUAK family kinase 1"
"ENSG00000254685.6","ENSG00000254685.6",-0.520626953695823,0.594147927935361,0.0285022504521042,"109","252","1.68308253379753",0.576689537919728,0.0324076781530379,"ENSG00000254685","FPGT","fucose-1-phosphate guanylyltransferase"
"ENSG00000170577.8","ENSG00000170577.8",0.487120740848791,1.62762311811182,0.0447977253280917,"267","94","0.614392846152297",0.567156475803024,0.0317462275370258,"ENSG00000170577","SIX2","SIX homeobox 2"
"ENSG00000120158.12","ENSG00000120158.12",0.526544987246174,1.69307260432991,0.0479456059764015,"299","62","0.590642124527073",0.565031270872548,0.0291889823745644,"ENSG00000120158","RCL1","RNA terminal phosphate cyclase like 1"
"ENSG00000140563.15","ENSG00000140563.15",-0.671226622562779,0.511081289301218,0.0483534222470654,"278","83","1.95663590300334",0.555892889671504,0.0231355692828735,"ENSG00000140563","MCTP2","multiple C2 and transmembrane domain containing 2"
"ENSG00000187699.10","ENSG00000187699.10",-0.657164356607984,0.51831902049661,0.0133876246379378,"223","138","1.92931372466687",0.579209423765863,0.0284135389993455,"ENSG00000187699","AKAP19","A-kinase anchoring protein 19"
"ENSG00000278259.4","ENSG00000278259.4",-0.500850970894663,0.606014739322249,0.031804735234106,"158","203","1.65012488164624",0.570131762705689,0.0324892235297621,"ENSG00000278259","MYO19","myosin XIX"
"ENSG00000148399.13","ENSG00000148399.13",0.813093071628409,2.25487169115985,0.00500448703019632,"323","38","0.443484214166361",0.562329224603801,0.0257874864033505,"ENSG00000148399","DPH7","diphthamide biosynthesis 7"
"ENSG00000120211.4","ENSG00000120211.4",-1.45455218385378,0.233504907759108,0.0425523617757175,"328","33","4.28256523426753",0.54053069403121,0.00986891702512008,"ENSG00000120211","INSL4","insulin like 4"
"ENSG00000036257.13","ENSG00000036257.13",-0.590671144019412,0.553955376108646,0.0224524964201067,"211","150","1.80519955781397",0.606837087862044,0.0279968410813589,"ENSG00000036257","CUL3","cullin 3"
"ENSG00000265321.1","ENSG00000265321.1",-0.784563329987755,0.456318919074346,0.0227539856663044,"31","330","2.19144979136198",0.534397959803267,0.0222574535690196,"ENSG00000265321","MIR4263","microRNA 4263"
"ENSG00000169783.13","ENSG00000169783.13",0.518009302890886,1.67868257274137,0.0254390420654865,"207","154","0.595705237093723",0.607444289270751,0.0317691526509367,"ENSG00000169783","LINGO1","leucine rich repeat and Ig domain containing 1"
"ENSG00000189079.17","ENSG00000189079.17",-0.578274024242181,0.560865572019411,0.0139422126584388,"110","251","1.78295843048357",0.575475135102313,0.0322711113028788,"ENSG00000189079","ARID2","AT-rich interaction domain 2"
"ENSG00000228686.2","ENSG00000228686.2",-0.619286463001885,0.538328417829589,0.0079231856870112,"155","206","1.85760210102183",0.599975711943652,0.0321506333810875,"ENSG00000228686",NA,NA
"ENSG00000174840.9","ENSG00000174840.9",-0.532315461846823,0.587243653973711,0.0457877891374408,"71","290","1.70287067937352",0.563482907280345,0.0299118578322524,"ENSG00000174840","PDE12","phosphodiesterase 12"
"ENSG00000153006.16","ENSG00000153006.16",-0.803505344849007,0.447756668476514,0.00165205644809176,"65","296","2.23335590601584",0.568370878620438,0.0295176055016108,"ENSG00000153006","SREK1IP1","SREK1 interacting protein 1"
"ENSG00000104626.15","ENSG00000104626.15",-0.686609934606386,0.503279330192128,0.0151885388331464,"52","309","1.98696815070519",0.552371121501002,0.0271839955301656,"ENSG00000104626","ERI1","exoribonuclease 1"
"ENSG00000065457.10","ENSG00000065457.10",0.702798213568607,2.01939550882006,0.0325676291895819,"333","28","0.495197694375532",0.506588135284474,0.0164695041392815,"ENSG00000065457","ADAT1","adenosine deaminase tRNA specific 1"
"ENSG00000275964.1","ENSG00000275964.1",0.866517792063196,2.37861358839117,0.0206015167986912,"79","282","0.420412968663974",0.568006557775214,0.0201714572303432,"ENSG00000275964",NA,NA
"ENSG00000177084.18","ENSG00000177084.18",-0.539712905636808,0.582915580130685,0.0270748269998272,"200","161","1.71551427700013",0.540561054101645,0.0323996699224849,"ENSG00000177084","POLE","DNA polymerase epsilon, catalytic subunit"
"ENSG00000163697.17","ENSG00000163697.17",0.492151844274963,1.63583249214649,0.0411994467915225,"272","89","0.611309534931557",0.572773088833566,0.0314176756057459,"ENSG00000163697","APBB2","amyloid beta precursor protein binding family B member 2"
"ENSG00000185480.12","ENSG00000185480.12",-0.646247718391408,0.524008319231355,0.0103444377703674,"82","279","1.9083666485808",0.582670471795495,0.0314448683745451,"ENSG00000185480","PARPBP","PARP1 binding protein"
"ENSG00000070718.12","ENSG00000070718.12",0.621041126527712,1.86086442898091,0.0198246136054153,"301","60","0.537384660820049",0.556560811221082,0.0278838998169438,"ENSG00000070718","AP3M2","adaptor related protein complex 3 subunit mu 2"
"ENSG00000228437.5","ENSG00000228437.5",0.502936714181905,1.6535702103278,0.0299013098877192,"229","132","0.604752065412307",0.565820632703868,0.0328816535825433,"ENSG00000228437",NA,NA
"ENSG00000032742.18","ENSG00000032742.18",-0.670599676907043,0.511401809959292,0.0351667049479445,"43","318","1.95540958308224",0.533183556985852,0.0237377247544621,"ENSG00000032742","IFT88","intraflagellar transport 88"
"ENSG00000168887.11","ENSG00000168887.11",0.650663985516969,1.91681314273372,0.014624343039691,"144","217","0.521699260979513",0.602768838423705,0.0277536645604494,"ENSG00000168887","C2orf68","chromosome 2 open reading frame 68"
"ENSG00000202441.2","ENSG00000202441.2",-1.11865082533215,0.326720300149204,0.00496139435562804,"14","347","3.0607219678218",0.534337239662396,0.019219878339381,"ENSG00000202441","RNY4P10","RNY4 pseudogene 10"
"ENSG00000279502.1","ENSG00000279502.1",-0.638721187194497,0.527967163688055,0.0163815598101841,"235","126","1.89405718532685",0.568067277916085,0.0275093803366653,"ENSG00000279502",NA,NA
"ENSG00000198018.7","ENSG00000198018.7",-0.732769807367037,0.48057604187628,0.00948203515407176,"228","133","2.0808361484184",0.588347804966908,0.0265917294910413,"ENSG00000198018","ENTPD7","ectonucleoside triphosphate diphosphohydrolase 7"
"ENSG00000174697.5","ENSG00000174697.5",0.74006349802852,2.09606860649294,0.00630022291740334,"137","224","0.47708362068986",0.583854514542474,0.0276491508270777,"ENSG00000174697","LEP","leptin"
"ENSG00000166140.17","ENSG00000166140.17",0.477041701227419,1.6113006358675,0.0422385656558969,"249","112","0.620616648277816",0.572864169044872,0.0328167374882215,"ENSG00000166140","ZFYVE19","zinc finger FYVE-type containing 19"
"ENSG00000239911.2","ENSG00000239911.2",3.02276972257937,20.5481255481365,0.00329652889407517,"360","1","0.0486662395388513",0.509472341975833,0.00936352697590536,"ENSG00000239911",NA,NA
"ENSG00000123892.12","ENSG00000123892.12",0.554238617278916,1.74061520578377,0.0248488106714736,"269","92","0.574509516334895",0.54426498269476,0.0303410708479174,"ENSG00000123892","RAB38","RAB38, member RAS oncogene family"
"ENSG00000156049.7","ENSG00000156049.7",0.866826100321633,2.37934704766407,0.00353192542708183,"328","33","0.420283371852691",0.548667192907888,0.0238580943918925,"ENSG00000156049","GNA14","G protein subunit alpha 14"
"ENSG00000132716.19","ENSG00000132716.19",0.557229073742425,1.74582823055327,0.0170378418660292,"218","143","0.572794036950067",0.592416054405246,0.0325286274552958,"ENSG00000132716","DCAF8","DDB1 and CUL4 associated factor 8"
"ENSG00000239713.9","ENSG00000239713.9",0.630774333587172,1.87906503924543,0.0145121068645886,"291","70","0.532179556914947",0.556955492136742,0.0297798494216668,"ENSG00000239713","APOBEC3G","apolipoprotein B mRNA editing enzyme catalytic subunit 3G"
"ENSG00000101842.14","ENSG00000101842.14",-0.673093043760977,0.510128285978317,0.023294332001893,"252","109","1.96029121984917",0.57058716376222,0.0257573363998037,"ENSG00000101842","VSIG1","V-set and immunoglobulin domain containing 1"
"ENSG00000147408.14","ENSG00000147408.14",-0.602129227702867,0.547644334321443,0.0117408979398114,"87","274","1.82600263953985",0.554769567065396,0.0300086339434083,"ENSG00000147408","CSGALNACT1","chondroitin sulfate N-acetylgalactosaminyltransferase 1"
"ENSG00000239503.1","ENSG00000239503.1",-0.637005513423295,0.528873760592732,0.00616348886876679,"149","212","1.89081038711252",0.596150343068796,0.0317187659539462,"ENSG00000239503",NA,NA
"ENSG00000284638.1","ENSG00000284638.1",-0.644388944994521,0.524983237750495,0.0176405343997204,"47","314","1.90482272212139",0.543293460440828,0.0259979108905041,"ENSG00000284638","SMIM44","small integral membrane protein 44"
"ENSG00000201820.1","ENSG00000201820.1",-0.631247280192387,0.531927923909317,0.00771655856320202,"125","236","1.87995394686307",0.583399113485943,0.0328045448985935,"ENSG00000201820",NA,NA
"ENSG00000261474.1","ENSG00000261474.1",0.661309871436213,1.93732832416355,0.0166801983732592,"314","47","0.51617476889559",0.552947962839274,0.0263889201691866,"ENSG00000261474",NA,NA
"ENSG00000141576.16","ENSG00000141576.16",-0.722727080215452,0.485426651848828,0.00228887700056127,"159","202","2.06004346113122",0.585038557289453,0.0323267333546431,"ENSG00000141576","RNF157","ring finger protein 157"
"ENSG00000234286.1","ENSG00000234286.1",0.559820524854043,1.75035832628764,0.0202895144683404,"270","91","0.571311590879173",0.542504098609509,0.0304164041645674,"ENSG00000234286",NA,NA
"ENSG00000205763.13","ENSG00000205763.13",0.657980875048145,1.93088968821401,0.00952904610268179,"294","67","0.517895976193729",0.572408767988342,0.0303377820706671,"ENSG00000205763",NA,NA
"ENSG00000112799.9","ENSG00000112799.9",0.824765538074466,2.28134581388655,0.00287675538437091,"313","48","0.438337753931474",0.564636589956889,0.0284079226136726,"ENSG00000112799","LY86","lymphocyte antigen 86"
"ENSG00000170089.15","ENSG00000170089.15",-0.538433903650502,0.583661607298937,0.0245562709847786,"101","260","1.71332153339294",0.546541987977412,0.0314099407692708,"ENSG00000170089",NA,NA
"ENSG00000264314.1","ENSG00000264314.1",-0.565708951675175,0.567957349678097,0.0261016334859736,"218","143","1.76069558843947",0.556287570587164,0.030374071971291,"ENSG00000264314","MIR548AT","microRNA 548at"
"ENSG00000133874.2","ENSG00000133874.2",0.573086886666232,1.77373392488543,0.0343046403743212,"306","55","0.563782417402086",0.559080697067217,0.0281458652895195,"ENSG00000133874","RNF122","ring finger protein 122"
"ENSG00000121671.12","ENSG00000121671.12",0.898105981946876,2.45494898734947,0.0243068070321286,"347","14","0.407340439721181",0.515787236626389,0.0137937831020189,"ENSG00000121671","CRY2","cryptochrome circadian regulator 2"
"ENSG00000148331.12","ENSG00000148331.12",0.81185123068731,2.25207323715386,0.000783433949296606,"203","158","0.444035293125629",0.634829072803449,0.0307376268998644,"ENSG00000148331","ASB6","ankyrin repeat and SOCS box containing 6"
"ENSG00000251370.1","ENSG00000251370.1",-0.663237873262711,0.515180541742229,0.00499021701704288,"119","242","1.94106709973598",0.587437002853847,0.0325459279073136,"ENSG00000251370","SEMA5A-AS1","SEMA5A antisense RNA 1"
"ENSG00000011243.18","ENSG00000011243.18",0.843029694021121,2.32339550172511,0.0342540884497747,"345","16","0.430404551983296",0.526959742546603,0.018341647281009,"ENSG00000011243","AKAP8L","A-kinase anchoring protein 8 like"
"ENSG00000154783.12","ENSG00000154783.12",0.484738398010809,1.62375017700197,0.0412118225991827,"250","111","0.615858285445339",0.544932904244338,0.0315314047242852,"ENSG00000154783","FGD5","FYVE, RhoGEF and PH domain containing 5"
"ENSG00000240970.1","ENSG00000240970.1",-0.584783381612936,0.557226554257013,0.0342843427519415,"241","120","1.79460219969841",0.575141174327524,0.0264883930831238,"ENSG00000240970",NA,NA
"ENSG00000119401.11","ENSG00000119401.11",1.55163031630248,4.71915763402404,0.0311810514758271,"358","3","0.21190222441188",0.506982816200134,0.0069566009575183,"ENSG00000119401","TRIM32","tripartite motif containing 32"
"ENSG00000168952.15","ENSG00000168952.15",-0.717027925819965,0.488201071699434,0.00944637197292176,"239","122","2.04833634739676",0.59068553039043,0.0267380969422284,"ENSG00000168952","STXBP6","syntaxin binding protein 6"
"ENSG00000199038.1","ENSG00000199038.1",0.924450759175957,2.52048352766737,0.0136354351388206,"76","285","0.396749270139237",0.560841581152468,0.0221409415393569,"ENSG00000199038","MIR210","microRNA 210"
"ENSG00000154265.16","ENSG00000154265.16",-1.23693026458271,0.290273915791911,0.0167233179150378,"9","352","3.44502191067306",0.518853603740361,0.014629557047521,"ENSG00000154265","ABCA5","ATP binding cassette subfamily A member 5"
"ENSG00000122863.6","ENSG00000122863.6",0.46721769924678,1.59554871536439,0.0438480026931492,"210","151","0.626743633942647",0.550579877345315,0.0328340739993508,"ENSG00000122863","CHST3","carbohydrate sulfotransferase 3"
"ENSG00000265107.3","ENSG00000265107.3",0.588007478475993,1.80039750831898,0.0126970755239251,"246","115","0.555432894890916",0.537069646001579,0.0314232982534398,"ENSG00000265107","GJA5","gap junction protein alpha 5"
"ENSG00000156983.16","ENSG00000156983.16",0.795200681605714,2.21488543897326,0.0473186522814684,"341","20","0.451490619967939",0.515088955006376,0.0162058023334897,"ENSG00000156983","BRPF1","bromodomain and PHD finger containing 1"
"ENSG00000100281.14","ENSG00000100281.14",-0.528127865156958,0.589707949692384,0.0288702132235158,"199","162","1.695754653675",0.595725302082701,0.0296003230159889,"ENSG00000100281","HMGXB4","HMG-box containing 4"
